,class_name,next_class_name
233,android.arch.persistence.room.solver.query.result.TransactionWrapperKt,androidx.room.solver.query.result.TransactionWrapperKt
234,android.arch.persistence.room.solver.QueryResultBinderProvider,androidx.room.solver.QueryResultBinderProvider
235,android.arch.persistence.room.solver.TypeAdapterStore,androidx.room.solver.TypeAdapterStore
236,android.arch.persistence.room.solver.types.BoxedBooleanToBoxedIntConverter,androidx.room.solver.types.BoxedBooleanToBoxedIntConverter
237,android.arch.persistence.room.solver.types.BoxedPrimitiveColumnTypeAdapter,androidx.room.solver.types.BoxedPrimitiveColumnTypeAdapter
238,android.arch.persistence.room.solver.types.ByteArrayColumnTypeAdapter,androidx.room.solver.types.ByteArrayColumnTypeAdapter
239,android.arch.persistence.room.solver.types.ColumnTypeAdapter,androidx.room.solver.types.ColumnTypeAdapter
240,android.arch.persistence.room.solver.types.CompositeAdapter,androidx.room.solver.types.CompositeAdapter
241,android.arch.persistence.room.solver.types.CompositeTypeConverter,androidx.room.solver.types.CompositeTypeConverter
242,android.arch.persistence.room.solver.types.CursorValueReader,androidx.room.solver.types.CursorValueReader
243,android.arch.persistence.room.solver.types.CustomTypeConverterWrapper,androidx.room.solver.types.CustomTypeConverterWrapper
244,android.arch.persistence.room.solver.types.NoOpConverter,androidx.room.solver.types.NoOpConverter
245,android.arch.persistence.room.solver.types.PrimitiveBooleanToIntConverter,androidx.room.solver.types.PrimitiveBooleanToIntConverter
246,android.arch.persistence.room.solver.types.PrimitiveColumnTypeAdapter,androidx.room.solver.types.PrimitiveColumnTypeAdapter
247,android.arch.persistence.room.solver.types.StatementValuebin,androidx.room.solver.types.StatementValueBinder
248,android.arch.persistence.room.solver.types.StringColumnTypeAdapter,androidx.room.solver.types.StringColumnTypeAdapter
249,android.arch.persistence.room.solver.types.TypeConverter,androidx.room.solver.types.TypeConverter
250,android.arch.persistence.room.testing.MigrationTestHelper,androidx.room.testing.MigrationTestHelper
251,android.arch.persistence.room.Transaction,androidx.room.Transaction
252,android.arch.persistence.room.TypeConverter,androidx.room.TypeConverter
253,android.arch.persistence.room.TypeConverters,androidx.room.TypeConverters
254,android.arch.persistence.room.Update,androidx.room.Update
255,android.arch.persistence.room.util.StringUtil,androidx.room.util.StringUtil
256,android.arch.persistence.room.util.TableInfo,androidx.room.util.TableInfo
257,android.arch.persistence.room.verifier.ColumnInfo,androidx.room.verifier.ColumnInfo
258,android.arch.persistence.room.verifier.DatabaseVerificaitonErrors,androidx.room.verifier.DatabaseVerificationErrors
259,android.arch.persistence.room.verifier.DatabaseVerificationErrors,androidx.room.verifier.DatabaseVerificationErrors
260,android.arch.persistence.room.verifier.DatabaseVerifier,androidx.room.verifier.DatabaseVerifier
261,android.arch.persistence.room.verifier.QueryResultInfo,androidx.room.verifier.QueryResultInfo
262,android.arch.persistence.room.vo.CallType,androidx.room.vo.CallType
263,android.arch.persistence.room.vo.Constructor,androidx.room.vo.Constructor
264,android.arch.persistence.room.vo.CustomTypeConverter,androidx.room.vo.CustomTypeConverter
